Res1;Res2;Res3;Res4;Res5;Res6;Res7
0,782404703;1,540740624;0,940270345;2,803941165;0,617773937;0,121512709;12,1556775
0,782404703;1,540740624;0,940270345;2,803941165;0,617773937;0,121512709;12,1556775
0,782404703;1,540740624;0,940270345;2,803941165;0,617773937;0,121512709;12,1556775
0,782404703;1,540740624;0,940270345;2,803941165;0,617773937;0,121512709;12,1556775
0,782404703;1,540740624;0,940270345;2,803941165;0,617773937;0,121512709;12,1556775
0,782404703;1,540740624;0,940270345;2,803941165;0,617773937;0,121512709;12,1556775
0,782404703;1,540740624;0,940270345;2,803941165;0,617773937;0,121512709;12,1556775
0,782404703;1,540740624;0,940270345;2,803941165;0,617773937;0,121512709;12,1556775
0,782404703;1,540740624;0,940270345;2,803941165;0,617773937;0,121512709;12,1556775
0,782404703;1,540740624;0,940270345;2,803941165;0,617773937;0,121512709;12,1556775
0,782404703;1,540740624;0,940270345;2,803941165;0,617773937;0,121512709;12,1556775
0,782404703;1,540740624;0,940270345;2,803941165;0,617773937;0,121512709;12,1556775
0,782404703;1,540740624;0,940270345;2,803941165;0,617773937;0,121512709;12,1556775
0,782404703;1,540740624;0,940270345;2,803941165;0,617773937;0,121512709;12,1556775
0,782404703;1,540740624;0,940270345;2,803941165;0,617773937;0,121512709;12,1556775
0,782404703;1,540740624;0,940270345;2,803941165;0,617773937;0,121512709;12,1556775
0,782404703;1,540740624;0,940270345;2,803941165;0,617773937;0,121512709;12,1556775
0,782404703;1,540740624;0,940270345;2,803941165;0,617773937;0,121512709;12,1556775
0,782404703;1,540740624;0,940270345;2,803941165;0,617773937;0,121512709;12,1556775
0,782404703;1,540740624;0,940270345;2,803941165;0,617773937;0,121512709;12,1556775
0,782404703;1,540740624;0,940270345;2,803941165;0,617773937;0,121512709;12,1556775
0,782404703;1,540740624;0,940270345;2,803941165;0,617773937;0,121512709;12,1556775
0,782404703;1,540740624;0,940270345;2,803941165;0,617773937;0,121512709;12,1556775
0,782404703;1,540740624;0,940270345;2,803941165;0,617773937;0,121512709;12,1556775
